zip_code,per_price,city_country,,,,zip_code,,city_country,, per_price ,
100,721401.6529,臺北市中正區,,,|,100,|,臺北市中正區,|," $721,402 ",|
103,589677.686,臺北市大同區,,,|,103,|,臺北市大同區,|," $589,678 ",|
104,630375.2066,臺北市中山區,,,|,104,|,臺北市中山區,|," $630,375 ",|
105,689421.4876,臺北市松山區,,,|,105,|,臺北市松山區,|," $689,421 ",|
106,810072.7273,臺北市大安區,,,|,106,|,臺北市大安區,|," $810,073 ",|
108,493537.1901,臺北市萬華區,,,|,108,|,臺北市萬華區,|," $493,537 ",|
110,653679.3388,臺北市信義區,,,|,110,|,臺北市信義區,|," $653,679 ",|
111,546869.4215,臺北市士林區,,,|,111,|,臺北市士林區,|," $546,869 ",|
112,454968.5951,臺北市北投區,,,|,112,|,臺北市北投區,|," $454,969 ",|
114,545082.6446,臺北市內湖區,,,|,114,|,臺北市內湖區,|," $545,083 ",|
115,556644.6281,臺北市南港區,,,|,115,|,臺北市南港區,|," $556,645 ",|
116,472360.3306,臺北市文山區,,,|,116,|,臺北市文山區,|," $472,360 ",|
200,168661.157,基隆市仁愛區,,,|,200,|,基隆市仁愛區,|," $168,661 ",|
201,151052.8926,基隆市信義區,,,|,201,|,基隆市信義區,|," $151,053 ",|
202,121748.7603,基隆市中正區,,,|,202,|,基隆市中正區,|," $121,749 ",|
203,116211.5702,基隆市中山區,,,|,203,|,基隆市中山區,|," $116,212 ",|
204,137269.4215,基隆市安樂區,,,|,204,|,基隆市安樂區,|," $137,269 ",|
205,140201.6529,基隆市暖暖區,,,|,205,|,基隆市暖暖區,|," $140,202 ",|
206,162705.7851,基隆市七堵區,,,|,206,|,基隆市七堵區,|," $162,706 ",|
207,64885.95041,新北市萬里區,,,|,207,|,新北市萬里區,|," $64,886 ",|
208,156467.7686,新北市金山區,,,|,208,|,新北市金山區,|," $156,468 ",|
209,101851.2397,連江縣南竿鄉,,,|,209,|,連江縣南竿鄉,|," $101,851 ",|
220,413223.1405,新北市板橋區,,,|,220,|,新北市板橋區,|," $413,223 ",|
221,307467.7686,新北市汐止區,,,|,221,|,新北市汐止區,|," $307,468 ",|
222,261226.4462,新北市深坑區,,,|,222,|,新北市深坑區,|," $261,226 ",|
223,269857.8512,新北市石碇區,,,|,223,|,新北市石碇區,|," $269,858 ",|
224,91358.67769,新北市瑞芳區,,,|,224,|,新北市瑞芳區,|," $91,359 ",|
226,392145.4545,新北市平溪區,,,|,226,|,新北市平溪區,|," $392,145 ",|
227,83894.21488,新北市雙溪區,,,|,227,|,新北市雙溪區,|," $83,894 ",|
228,64480.99174,新北市貢寮區,,,|,228,|,新北市貢寮區,|," $64,481 ",|
231,365814.8761,新北市新店區,,,|,231,|,新北市新店區,|," $365,815 ",|
233,117226.4463,新北市烏來區,,,|,233,|,新北市烏來區,|," $117,226 ",|
234,454877.6859,新北市永和區,,,|,234,|,新北市永和區,|," $454,878 ",|
235,399894.2149,新北市中和區,,,|,235,|,新北市中和區,|," $399,894 ",|
236,352981.8182,新北市土城區,,,|,236,|,新北市土城區,|," $352,982 ",|
237,260922.314,新北市三峽區,,,|,237,|,新北市三峽區,|," $260,922 ",|
238,264366.9421,新北市樹林區,,,|,238,|,新北市樹林區,|," $264,367 ",|
239,196595.0413,新北市鶯歌區,,,|,239,|,新北市鶯歌區,|," $196,595 ",|
241,382717.3554,新北市三重區,,,|,241,|,新北市三重區,|," $382,717 ",|
242,377375.2066,新北市新莊區,,,|,242,|,新北市新莊區,|," $377,375 ",|
243,277649.5868,新北市泰山區,,,|,243,|,新北市泰山區,|," $277,650 ",|
244,275186.7769,新北市林口區,,,|,244,|,新北市林口區,|," $275,187 ",|
247,350330.5785,新北市蘆洲區,,,|,247,|,新北市蘆洲區,|," $350,331 ",|
248,276790.0826,新北市五股區,,,|,248,|,新北市五股區,|," $276,790 ",|
249,197342.1488,新北市八里區,,,|,249,|,新北市八里區,|," $197,342 ",|
251,223408.2645,新北市淡水區,,,|,251,|,新北市淡水區,|," $223,408 ",|
252,98277.68595,新北市三芝區,,,|,252,|,新北市三芝區,|," $98,278 ",|
253,81666.1157,新北市石門區,,,|,253,|,新北市石門區,|," $81,666 ",|
